repeat,shortlist,pair_rho,redundancy_rho,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count
1,12,0.7,0.85,0.7151667023631042,0.6992546067311171,0.7471370336821628,0.7675070028011205,0.1499726327312534,0.7797704272289298,0.7974683544303798,0.3103448275862069,0.7421928710187503,0.7443820224719101,0.4351395730706076,0.7174975660169838,0.7130801687763713,0.555008210180624,0.6926888534244471,0.683277027027027,0.6642036124794746,492
1,12,0.7,0.9,0.7151667023631042,0.6992546067311171,0.7471370336821628,0.7675070028011205,0.1499726327312534,0.7797704272289298,0.7974683544303798,0.3103448275862069,0.7421928710187503,0.7443820224719101,0.4351395730706076,0.7174975660169838,0.7130801687763713,0.555008210180624,0.6926888534244471,0.683277027027027,0.6642036124794746,492
1,12,0.7,0.95,0.7291382879988577,0.7071897709855486,0.7672478345725828,0.7983193277310925,0.1559934318555008,0.7834178473245258,0.8016877637130801,0.3119868637110016,0.7516095614149226,0.7556179775280899,0.4417077175697865,0.7310370703423577,0.729254571026723,0.5675971538040504,0.7031227091240695,0.6951013513513513,0.6756978653530378,486
1,12,0.8,0.85,0.7151667023631042,0.6992546067311171,0.7471370336821628,0.7675070028011205,0.1499726327312534,0.7797704272289298,0.7974683544303798,0.3103448275862069,0.7421928710187503,0.7443820224719101,0.4351395730706076,0.7174975660169838,0.7130801687763713,0.555008210180624,0.6926888534244471,0.683277027027027,0.6642036124794746,492
1,12,0.8,0.9,0.7151667023631042,0.6992546067311171,0.7471370336821628,0.7675070028011205,0.1499726327312534,0.7797704272289298,0.7974683544303798,0.3103448275862069,0.7421928710187503,0.7443820224719101,0.4351395730706076,0.7174975660169838,0.7130801687763713,0.555008210180624,0.6926888534244471,0.683277027027027,0.6642036124794746,492
1,12,0.8,0.95,0.7291382879988577,0.7071897709855486,0.7672478345725828,0.7983193277310925,0.1559934318555008,0.7834178473245258,0.8016877637130801,0.3119868637110016,0.7516095614149226,0.7556179775280899,0.4417077175697865,0.7310370703423577,0.729254571026723,0.5675971538040504,0.7031227091240695,0.6951013513513513,0.6756978653530378,486
1,12,0.9,0.85,0.7151667023631042,0.6992546067311171,0.7471370336821628,0.7675070028011205,0.1499726327312534,0.7797704272289298,0.7974683544303798,0.3103448275862069,0.7421928710187503,0.7443820224719101,0.4351395730706076,0.7174975660169838,0.7130801687763713,0.555008210180624,0.6926888534244471,0.683277027027027,0.6642036124794746,492
1,12,0.9,0.9,0.7151667023631042,0.6992546067311171,0.7471370336821628,0.7675070028011205,0.1499726327312534,0.7797704272289298,0.7974683544303798,0.3103448275862069,0.7421928710187503,0.7443820224719101,0.4351395730706076,0.7174975660169838,0.7130801687763713,0.555008210180624,0.6926888534244471,0.683277027027027,0.6642036124794746,492
1,12,0.9,0.95,0.7291382879988577,0.7071897709855486,0.7672478345725828,0.7983193277310925,0.1559934318555008,0.7834178473245258,0.8016877637130801,0.3119868637110016,0.7516095614149226,0.7556179775280899,0.4417077175697865,0.7310370703423577,0.729254571026723,0.5675971538040504,0.7031227091240695,0.6951013513513513,0.6756978653530378,486
2,8,0.6,0.85,0.7150596130506175,0.6907493753456706,0.734438572884649,0.7478991596638656,0.1461412151067323,0.7615739977266204,0.7742616033755274,0.3013136288998358,0.7381945577033919,0.7408707865168539,0.4330870279146141,0.7114434879554525,0.7067510548523207,0.5500821018062397,0.6856471140784773,0.6756756756756757,0.6568144499178982,699
